RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Titular2018-2019,Mín2018-2019,90 s2018-2019,GC2018-2019,GC902018-2019,DaPC2018-2019,Salvadas2018-2019,% Salvadas2018-2019,PG2018-2019,PE2018-2019,PP2018-2019,PaC2018-2019,PaC%2018-2019,TPint2018-2019,PD2018-2019,PD.12018-2019,PC2018-2019,% Salvadas.12018-2019
100,Alban Lafont,fr FRA,PO,Fiorentina,it Serie A,19,1999,34,34,3015.0,33.5,40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,0,16.7
101,Benjamin Lecomte,fr FRA,PO,Montpellier,fr Ligue 1,27,1991,37,37,3330.0,37.0,42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,1,25.0
102,Bernd Leno,de GER,PO,Arsenal,eng Premier League,26,1992,32,31,2835.0,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0.0
103,Hugo Lloris,fr FRA,PO,Tottenham,eng Premier League,31,1986,33,33,2970.0,33.0,33,1.0,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40.0
104,Anthony Lopes,pt POR,PO,Lyon,fr Ligue 1,27,1990,34,34,3060.0,34.0,42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,0.0
105,Diego López,es ESP,PO,Espanyol,es La Liga,36,1981,38,38,3420.0,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0
106,Pau López,es ESP,PO,Betis,es La Liga,23,1994,33,33,2970.0,33.0,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0
107,Jonas Lössl,dk DEN,PO,Huddersfield,eng Premier League,29,1989,31,30,2777.0,30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20.0
108,Andriy Lunin,ua UKR,PO,Leganés,es La Liga,19,1999,5,4,364.0,4.1,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0
109,Andreas Luthe,de GER,PO,Augsburg,de Bundesliga,31,1987,15,14,1310.0,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,0.0
110,Mike Maignan,fr FRA,PO,Lille,fr Ligue 1,23,1995,38,38,3420.0,38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0
111,Steve Mandanda,fr FRA,PO,Marseille,fr Ligue 1,33,1985,31,31,2736.0,30.4,40,1.32,113,72,69.9,14,5,12,9,29.0,7,6,1,0,14.3
112,Federico Marchetti,it ITA,PO,Genoa,it Serie A,35,1983,4,4,360.0,4.0,10,2.5,18,9,44.4,2,0,2,1,25.0,0,0,0,0,0.0
113,Jordi Masip,es ESP,PO,Valladolid,es La Liga,29,1989,35,35,3150.0,35.0,45,1.29,143,96,72.0,10,9,16,9,25.7,8,5,3,0,37.5
114,Christian Mathenia,de GER,PO,Nürnberg,de Bundesliga,26,1992,22,22,1933.0,21.5,40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,0.0
115,Alex McCarthy,eng ENG,PO,Southampton,eng Premier League,28,1989,25,25,2250.0,25.0,44,1.76,119,78,64.7,5,8,12,4,16.0,2,2,0,0,0.0
116,Edouard Mendy,sn SEN,PO,Reims,fr Ligue 1,26,1992,38,38,3420.0,38.0,42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0
117,Alex Meret,it ITA,PO,Napoli,it Serie A,21,1997,14,13,1150.0,12.8,9,0.7,48,39,85.4,9,1,3,5,38.5,2,2,0,0,0.0
118,Vanja Milinković-Savić,rs SRB,PO,SPAL,it Serie A,21,1997,2,2,164.0,1.8,4,2.2,16,12,75.0,1,0,1,0,0.0,0,0,0,0,0.0
119,Antonio Mirante,it ITA,PO,Roma,it Serie A,35,1983,11,11,990.0,11.0,6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,0,100.0
120,Jessy Moulin,fr FRA,PO,Saint-Étienne,fr Ligue 1,32,1986,1,1,90.0,1.0,1,1.0,5,5,80.0,0,1,0,0,0.0,0,0,0,0,0.0
121,Florian Müller,de GER,PO,Mainz 05,de Bundesliga,20,1997,24,24,2160.0,24.0,43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,1,0.0
122,Juan Musso,ar ARG,PO,Udinese,it Serie A,24,1994,29,29,2610.0,29.0,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0
123,Yvon Mvogo,ch SUI,PO,RB Leipzig,de Bundesliga,24,1994,2,1,135.0,1.5,2,1.33,4,2,75.0,0,0,1,1,100.0,1,1,0,0,0.0
124,Keylor Navas,cr CRC,PO,Real Madrid,es La Liga,31,1986,10,10,900.0,10.0,8,0.8,31,23,74.2,6,2,2,4,40.0,0,0,0,0,0.0
125,Neto,br BRA,PO,Valencia,es La Liga,29,1989,34,34,3060.0,34.0,34,1.0,139,106,80.6,13,14,7,10,29.4,8,7,1,0,12.5
126,Manuel Neuer,de GER,PO,Bayern Munich,de Bundesliga,32,1986,26,26,2303.0,25.6,23,0.9,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0.0
127,Will Norris,eng ENG,PO,Wolves,eng Premier League,24,1993,1,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
128,Alexander Nübel,de GER,PO,Schalke 04,de Bundesliga,21,1996,18,18,1588.0,17.6,29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,0,25.0
129,Jan Oblak,si SVN,PO,Atlético Madrid,es La Liga,25,1993,37,37,3330.0,37.0,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0
130,Oier Olazábal,es ESP,PO,Levante,es La Liga,28,1989,21,21,1890.0,21.0,40,1.9,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0
131,Alexandre Olliero,fr FRA,PO,Nantes,fr Ligue 1,22,1996,1,1,90.0,1.0,1,1.0,1,0,100.0,0,0,1,0,0.0,1,1,0,0,0.0
132,Robin Olsen,se SWE,PO,Roma,it Serie A,28,1990,27,27,2430.0,27.0,42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,2,0.0
133,David Ospina,co COL,PO,Napoli,it Serie A,29,1988,17,16,1457.0,16.2,20,1.24,62,42,69.4,9,4,3,5,31.3,1,1,0,0,0.0
134,Ramazan Özcan,at AUT,PO,Leverkusen,de Bundesliga,34,1984,2,2,180.0,2.0,5,2.5,12,7,66.7,0,0,2,0,0.0,2,1,1,0,50.0
135,Fernando Pacheco,es ESP,PO,Alavés,es La Liga,26,1992,35,35,3150.0,35.0,46,1.31,154,110,74.0,11,11,13,8,22.9,6,6,0,0,0.0
136,Rui Patrício,pt POR,PO,Wolves,eng Premier League,30,1988,37,37,3330.0,37.0,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0.0
137,Jiří Pavlenka,cz CZE,PO,Werder Bremen,de Bundesliga,26,1992,34,34,2978.0,33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0.0
138,Gianluca Pegolo,it ITA,PO,Sassuolo,it Serie A,37,1981,3,2,202.0,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,0.0
139,Yohann Pelé,fr FRA,PO,Marseille,fr Ligue 1,35,1982,9,7,680.0,7.6,12,1.59,25,12,68.0,4,2,1,3,42.9,5,4,1,0,20.0
140,Mattia Perin,it ITA,PO,Juventus,it Serie A,25,1992,9,9,810.0,9.0,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0
141,Pavao Pervan,at AUT,PO,Wolfsburg,de Bundesliga,30,1987,10,8,765.0,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,0.0
142,Jordan Pickford,eng ENG,PO,Everton,eng Premier League,24,1994,38,38,3420.0,38.0,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0
143,Carlo Pinsoglio,it ITA,PO,Juventus,it Serie A,28,1990,1,1,90.0,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,0.0
144,Luca Plogmann,de GER,PO,Werder Bremen,de Bundesliga,18,2000,1,0,37.0,0.4,1,2.43,1,0,100.0,0,0,0,0,0.0,1,1,0,0,0.0
145,Giacomo Poluzzi,it ITA,PO,SPAL,it Serie A,30,1988,1,0,5.0,0.1,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
146,Gaëtan Poussin,fr FRA,PO,Bordeaux,fr Ligue 1,19,1999,1,1,90.0,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,0.0
147,Silvio Proto,be BEL,PO,Lazio,it Serie A,35,1983,2,2,180.0,2.0,4,2.0,13,9,69.2,1,0,1,0,0.0,0,0,0,0,0.0
148,Ivan Provedel,it ITA,PO,Empoli,it Serie A,24,1994,16,16,1440.0,16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0
149,Ionuț Radu,ro ROU,PO,Genoa,it Serie A,21,1997,33,33,2970.0,33.0,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7
150,Pepe Reina,es ESP,PO,Milan,it Serie A,35,1982,4,2,328.0,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0
151,Michael Rensing,de GER,PO,Düsseldorf,de Bundesliga,34,1984,32,32,2880.0,32.0,62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,0.0
152,Baptiste Reynet,fr FRA,PO,Toulouse,fr Ligue 1,27,1990,31,31,2704.0,30.0,45,1.5,143,98,71.3,6,11,14,6,19.4,5,4,1,0,20.0
153,Sergio Rico,es ESP,PO,Fulham,eng Premier League,24,1993,29,29,2610.0,29.0,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0.0
154,Asier Riesgo,es ESP,PO,Eibar,es La Liga,34,1983,15,14,1260.0,14.0,20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,0,0.0
155,Joel Robles,es ESP,PO,Betis,es La Liga,28,1990,5,5,450.0,5.0,5,1.0,21,16,81.0,2,1,2,1,20.0,1,1,0,0,0.0
156,Francesco Rossi,it ITA,PO,Atalanta,it Serie A,27,1991,1,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
157,John Ruddy,eng ENG,PO,Wolves,eng Premier League,31,1986,1,1,90.0,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0
158,Stéphane Ruffier,fr FRA,PO,Saint-Étienne,fr Ligue 1,31,1986,37,37,3330.0,37.0,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5
159,Gerónimo Rulli,ar ARG,PO,Real Sociedad,es La Liga,26,1992,27,27,2430.0,27.0,35,1.3,109,75,69.7,10,9,8,7,25.9,3,2,1,0,33.3
160,Mathew Ryan,au AUS,PO,Brighton,eng Premier League,26,1992,34,34,3060.0,34.0,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0
161,Frederik Rønnow,dk DEN,PO,Eint Frankfurt,de Bundesliga,25,1992,2,1,122.0,1.4,0,0.0,7,7,100.0,1,0,0,1,100.0,0,0,0,0,0.0
162,Samuel Şahin-Radlinger,at AUT,PO,Hannover 96,de Bundesliga,25,1992,1,1,90.0,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0
163,Brice Samba,fr FRA,PO,Caen,fr Ligue 1,24,1994,38,38,3420.0,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0
164,Roberto Santamaría,es ESP,PO,Huesca,es La Liga,33,1985,20,20,1800.0,20.0,30,1.5,96,67,75.0,5,7,8,6,30.0,6,6,0,0,0.0
165,Kasper Schmeichel,dk DEN,PO,Leicester City,eng Premier League,31,1986,38,38,3420.0,38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0
166,Alexander Schwolow,de GER,PO,Freiburg,de Bundesliga,26,1992,33,33,2970.0,33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0
167,Simone Scuffet,it ITA,PO,Udinese,it Serie A,22,1996,9,9,810.0,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0
168,Andrea Seculin,it ITA,PO,Chievo,it Serie A,28,1990,2,1,90.0,1.0,7,7.0,12,5,41.7,0,0,1,0,0.0,0,0,0,0,0.0
169,Matz Sels,be BEL,PO,Strasbourg,fr Ligue 1,26,1992,37,37,3330.0,37.0,48,1.3,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2
170,Adrian Šemper,hr CRO,PO,Chievo,it Serie A,20,1998,6,6,540.0,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,0.0
171,Luigi Sepe,it ITA,PO,Parma,it Serie A,27,1991,37,37,3330.0,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0
172,Unai Simón,es ESP,PO,Athletic Club,es La Liga,21,1997,7,7,630.0,7.0,13,1.86,33,20,66.7,1,4,2,0,0.0,2,2,0,0,0.0
173,Salvatore Sirigu,it ITA,PO,Torino,it Serie A,31,1987,36,36,3170.0,35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0
174,Antonio Sivera,es ESP,PO,Alavés,es La Liga,21,1996,3,3,270.0,3.0,4,1.33,13,9,69.2,2,0,1,0,0.0,0,0,0,0,0.0
175,Łukasz Skorupski,pl POL,PO,Bologna,it Serie A,27,1991,38,38,3420.0,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0
176,Yann Sommer,ch SUI,PO,M'Gladbach,de Bundesliga,29,1988,34,34,3060.0,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0
177,David Soria,es ESP,PO,Getafe,es La Liga,25,1993,37,37,3330.0,37.0,34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,1,20.0
178,Juan Soriano,es ESP,PO,Sevilla,es La Liga,20,1997,4,4,359.0,4.0,2,0.5,11,9,90.9,4,0,0,2,50.0,1,1,0,0,0.0
179,Stefano Sorrentino,it ITA,PO,Chievo,it Serie A,39,1979,31,31,2790.0,31.0,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0
180,Julián Speroni,ar ARG,PO,Crystal Palace,eng Premier League,39,1979,1,1,90.0,1.0,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,0,0.0
181,Marco Sportiello,it ITA,PO,Frosinone,it Serie A,26,1992,35,35,3150.0,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0
182,Thomas Strakosha,al ALB,PO,Lazio,it Serie A,23,1995,35,35,3150.0,35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7
183,Danijel Subašić,hr CRO,PO,Monaco,fr Ligue 1,33,1984,14,14,1138.0,12.6,12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,0,33.3
184,Seydou Sy,sn SEN,PO,Monaco,fr Ligue 1,22,1995,3,2,225.0,2.5,7,2.8,12,6,41.7,0,1,1,0,0.0,0,0,0,0,0.0
185,Wojciech Szczęsny,pl POL,PO,Juventus,it Serie A,28,1990,28,28,2520.0,28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0
186,Ciprian Tătărușanu,ro ROU,PO,Nantes,fr Ligue 1,32,1986,27,27,2391.0,26.6,30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,0,75.0
187,Marc-André ter Stegen,de GER,PO,Barcelona,es La Liga,26,1992,35,35,3150.0,35.0,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0
377,Pietro Terracciano,it ITA,PO,Fiorentina,it Serie A,28,1990,10,10,900.0,10.0,13,2.75,46,34,144.10000000000002,1,3,6,2,25.0,0,0,0,0,0.0
190,Kevin Trapp,de GER,PO,Eint Frankfurt,de Bundesliga,28,1990,33,33,2938.0,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0
191,Mark Travers,ie IRL,PO,Bournemouth,eng Premier League,19,1999,2,2,180.0,2.0,5,2.5,13,9,61.5,1,0,1,1,50.0,0,0,0,0,0.0
192,Philipp Tschauner,de GER,PO,Hannover 96,de Bundesliga,32,1985,1,1,90.0,1.0,3,3.0,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
193,Sven Ulreich,de GER,PO,Bayern Munich,de Bundesliga,29,1988,9,8,757.0,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0
194,Tomáš Vaclík,cz CZE,PO,Sevilla,es La Liga,29,1989,33,33,2970.0,33.0,44,1.33,143,98,72.0,13,8,12,8,24.2,5,4,1,0,20.0
195,Koke Vegas,es ESP,PO,Levante,es La Liga,22,1995,1,1,90.0,1.0,2,2.0,8,6,75.0,0,1,0,0,0.0,0,0,0,0,0.0
196,Emiliano Viviano,it ITA,PO,SPAL,it Serie A,32,1985,17,17,1525.0,16.9,25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0
197,Michel Vorm,nl NED,PO,Tottenham,eng Premier League,34,1983,2,2,180.0,2.0,4,2.0,13,9,69.2,0,0,2,0,0.0,0,0,0,0,0.0
198,Axel Werner,ar ARG,PO,Huesca,es La Liga,22,1996,6,6,540.0,6.0,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0
199,Yoel,es ESP,PO,Valladolid,es La Liga,29,1988,3,3,270.0,3.0,6,2.0,12,6,58.3,0,2,1,0,0.0,1,1,0,0,0.0
200,Robin Zentner,de GER,PO,Mainz 05,de Bundesliga,23,1994,10,10,900.0,10.0,14,1.4,49,35,71.4,4,4,2,2,20.0,0,0,0,0,0.0
201,Luca Zidane,fr FRA,PO,Real Madrid,es La Liga,20,1998,1,1,90.0,1.0,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0,0.0
202,Ron-Robert Zieler,de GER,PO,Stuttgart,de Bundesliga,29,1989,34,34,3060.0,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0
